Naslov;Lokacija;Obcina;Cena;VelikostM2;ZemljisteM2;StSob;LetoGradnje;EnergetskiRazred;CenaNaM2;VrstaObjekta;DatumScrapa;Url
AMBROŽ POD KRVAVCEM, MIRNA LOKACIJA Z RAZGLEDOM;Ambrož Pod Krvavcem;;495000;114.0;367.0;;1986;;4342.11;Samostojna;2026-04-06 16:23:45;https://www.nepremicnine.net/oglasi-prodaja/ambroz-pod-krvavcem-mirna-lokacija-z-razgledom-hisa_7296865/
BLED;Bled;;995000;301.1;823.0;;1998;;3304.55;Samostojna;2026-04-06 16:23:45;https://www.nepremicnine.net/oglasi-prodaja/bled-hisa_7290302/
BODEŠČE;Bodešče;;395000;400.0;700.0;;;;987.5;Samostojna;2026-04-06 16:23:45;https://www.nepremicnine.net/oglasi-prodaja/bodesce-hisa_6387983/
BOHINJSKA BISTRICA;Bohinjska Bistrica;;255000;188.7;114.0;;;;1351.35;Vrstna;2026-04-06 16:23:45;https://www.nepremicnine.net/oglasi-prodaja/bohinjska-bistrica-hisa_6462270/
HRASTJE;Hrastje;;355000;190.9;522.0;;1973;;1859.61;Samostojna;2026-04-06 16:23:45;https://www.nepremicnine.net/oglasi-prodaja/hrastje-hisa_7281779/
KRANJ;Kranj;;493000;93.2;;;2009;;5289.7;Samostojna;2026-04-06 16:23:45;https://www.nepremicnine.net/oglasi-prodaja/kranj-hisa_7092819/
KRANJ;Kranj;;399000;180.0;571.0;;1966;;2216.67;Samostojna;2026-04-06 16:23:45;https://www.nepremicnine.net/oglasi-prodaja/kranj-hisa_7262419/
KRANJSKA GORA, CENTER;Kranjska Gora;;690000;100.0;;;2022;;6900.0;Samostojna;2026-04-06 16:23:45;https://www.nepremicnine.net/oglasi-prodaja/kranjska-gora-center-hisa_7045996/
RADOVLJICA;Radovljica;;315000;220.0;;;;;1431.82;Samostojna;2026-04-06 16:23:45;https://www.nepremicnine.net/oglasi-prodaja/radovljica-hisa_6462144/
RADOVLJICA;Radovljica;;1295000;600.0;1770.0;;;;2158.33;Samostojna;2026-04-06 16:23:45;https://www.nepremicnine.net/oglasi-prodaja/radovljica-hisa_6379303/
RAVNE;Ravne;;395000;600.0;2000.0;;;;658.33;Samostojna;2026-04-06 16:23:45;https://www.nepremicnine.net/oglasi-prodaja/ravne-hisa_7031680/
ZGORNJE BITNJE;Zgornje Bitnje;;420000;183.9;389.0;;1927;;2283.85;Samostojna;2026-04-06 16:23:45;https://www.nepremicnine.net/oglasi-prodaja/zgornje-bitnje-hisa_7307521/
AMBROŽ POD KRVAVCEM;Ambrož Pod Krvavcem;;475000;103.0;1829.0;;1989;;4611.65;Samostojna;2026-04-06 16:23:45;https://www.nepremicnine.net/oglasi-prodaja/ambroz-pod-krvavcem-hisa_7087146/
AMBROŽ POD KRVAVCEM;Ambrož Pod Krvavcem;;327000;120.0;445.0;;2023;;2725.0;Samostojna;2026-04-06 16:23:45;https://www.nepremicnine.net/oglasi-prodaja/ambroz-pod-krvavcem-hisa_6961698/
AMBROŽ POD KRVAVCEM;Ambrož Pod Krvavcem;;850000;132.9;595.0;;1990;;6395.79;Samostojna;2026-04-06 16:23:45;https://www.nepremicnine.net/oglasi-prodaja/ambroz-pod-krvavcem-hisa_7121562/
BAŠELJ;Bašelj;;540000;272.4;628.0;;2008;;1982.38;Samostojna;2026-04-06 16:23:45;https://www.nepremicnine.net/oglasi-prodaja/baselj-hisa_7287721/
BEGUNJE NA GORENJSKEM;Begunje Na Gorenjskem;;549000;211.3;2096.0;;;;2598.2;Samostojna;2026-04-06 16:23:45;https://www.nepremicnine.net/oglasi-prodaja/begunje-na-gorenjskem-hisa_7306570/
BEGUNJE NA GORENJSKEM;Begunje Na Gorenjskem;;695000;551.0;2101.0;;1975;;1261.34;Dvostanovanjska;2026-04-06 16:23:45;https://www.nepremicnine.net/oglasi-prodaja/begunje-na-gorenjskem-hisa_7076246/
BEGUNJE NA GORENJSKEM, DVORSKA VAS;Begunje Na Gorenjskem;;276800;124.0;625.0;;1900;;2232.26;Samostojna;2026-04-06 16:23:45;https://www.nepremicnine.net/oglasi-prodaja/begunje-na-gorenjskem-dvorska-vas-hisa_7259778/
BELCA;Belca;;425000;154.0;30.0;;2025;;2759.74;Trojček;2026-04-06 16:23:45;https://www.nepremicnine.net/oglasi-prodaja/belca-hisa_7308732/
BELCA;Belca;;455000;156.0;30.0;;2025;;2916.67;Trojček;2026-04-06 16:23:45;https://www.nepremicnine.net/oglasi-prodaja/belca-hisa_7308734/
BISTRICA PRI TRŽIČU;Bistrica Pri Tržiču;;460000;212.2;360.0;;2022;;2167.77;Samostojna;2026-04-06 16:23:45;https://www.nepremicnine.net/oglasi-prodaja/bistrica-pri-trzicu-hisa_6997311/
BLED;Bled;;557000;166.0;356.0;;1960;;3355.42;Samostojna;2026-04-06 16:23:45;https://www.nepremicnine.net/oglasi-prodaja/bled-hisa_7202161/
BLED;Bled;;950000;168.4;711.0;;2022;;5641.33;Samostojna;2026-04-06 16:23:45;https://www.nepremicnine.net/oglasi-prodaja/bled-hisa_7261770/
BLED;Bled;;1200000;225.0;896.0;;1937;;5333.33;Samostojna;2026-04-06 16:23:45;https://www.nepremicnine.net/oglasi-prodaja/bled-hisa_6674906/
