VrstaObjekta;VelikostM2;LetoGradnje;EnergetskiRazred;Lokacija;ZemljisteM2;StSob;Url
Samostojna;114.0;1986;;Ambrož Pod Krvavcem;367.0;;https://www.nepremicnine.net/oglasi-prodaja/ambroz-pod-krvavcem-mirna-lokacija-z-razgledom-hisa_7296865/
Samostojna;301.1;1998;;Bled;823.0;;https://www.nepremicnine.net/oglasi-prodaja/bled-hisa_7290302/
Samostojna;400.0;;;Bodešče;700.0;;https://www.nepremicnine.net/oglasi-prodaja/bodesce-hisa_6387983/
Vrstna;188.7;;;Bohinjska Bistrica;114.0;;https://www.nepremicnine.net/oglasi-prodaja/bohinjska-bistrica-hisa_6462270/
Samostojna;190.9;1973;;Hrastje;522.0;;https://www.nepremicnine.net/oglasi-prodaja/hrastje-hisa_7281779/
Samostojna;93.2;2009;;Kranj;;;https://www.nepremicnine.net/oglasi-prodaja/kranj-hisa_7092819/
Samostojna;180.0;1966;;Kranj;571.0;;https://www.nepremicnine.net/oglasi-prodaja/kranj-hisa_7262419/
Samostojna;100.0;2022;;Kranjska Gora;;;https://www.nepremicnine.net/oglasi-prodaja/kranjska-gora-center-hisa_7045996/
Samostojna;220.0;;;Radovljica;;;https://www.nepremicnine.net/oglasi-prodaja/radovljica-hisa_6462144/
Samostojna;600.0;;;Radovljica;1770.0;;https://www.nepremicnine.net/oglasi-prodaja/radovljica-hisa_6379303/
Samostojna;600.0;;;Ravne;2000.0;;https://www.nepremicnine.net/oglasi-prodaja/ravne-hisa_7031680/
Samostojna;183.9;1927;;Zgornje Bitnje;389.0;;https://www.nepremicnine.net/oglasi-prodaja/zgornje-bitnje-hisa_7307521/
Samostojna;103.0;1989;;Ambrož Pod Krvavcem;1829.0;;https://www.nepremicnine.net/oglasi-prodaja/ambroz-pod-krvavcem-hisa_7087146/
Samostojna;120.0;2023;;Ambrož Pod Krvavcem;445.0;;https://www.nepremicnine.net/oglasi-prodaja/ambroz-pod-krvavcem-hisa_6961698/
Samostojna;132.9;1990;;Ambrož Pod Krvavcem;595.0;;https://www.nepremicnine.net/oglasi-prodaja/ambroz-pod-krvavcem-hisa_7121562/
Samostojna;272.4;2008;;Bašelj;628.0;;https://www.nepremicnine.net/oglasi-prodaja/baselj-hisa_7287721/
Samostojna;211.3;;;Begunje Na Gorenjskem;2096.0;;https://www.nepremicnine.net/oglasi-prodaja/begunje-na-gorenjskem-hisa_7306570/
Dvostanovanjska;551.0;1975;;Begunje Na Gorenjskem;2101.0;;https://www.nepremicnine.net/oglasi-prodaja/begunje-na-gorenjskem-hisa_7076246/
Samostojna;124.0;1900;;Begunje Na Gorenjskem;625.0;;https://www.nepremicnine.net/oglasi-prodaja/begunje-na-gorenjskem-dvorska-vas-hisa_7259778/
Trojček;154.0;2025;;Belca;30.0;;https://www.nepremicnine.net/oglasi-prodaja/belca-hisa_7308732/
Trojček;156.0;2025;;Belca;30.0;;https://www.nepremicnine.net/oglasi-prodaja/belca-hisa_7308734/
Samostojna;212.2;2022;;Bistrica Pri Tržiču;360.0;;https://www.nepremicnine.net/oglasi-prodaja/bistrica-pri-trzicu-hisa_6997311/
Samostojna;166.0;1960;;Bled;356.0;;https://www.nepremicnine.net/oglasi-prodaja/bled-hisa_7202161/
Samostojna;168.4;2022;;Bled;711.0;;https://www.nepremicnine.net/oglasi-prodaja/bled-hisa_7261770/
Samostojna;225.0;1937;;Bled;896.0;;https://www.nepremicnine.net/oglasi-prodaja/bled-hisa_6674906/
Dvojček;234.2;1973;;Bled;384.0;;https://www.nepremicnine.net/oglasi-prodaja/bled-hisa_7308371/
Samostojna;300.0;1985;;Bled;501.0;;https://www.nepremicnine.net/oglasi-prodaja/bled-hisa_7308319/
Samostojna;304.5;1991;;Bled;1151.0;;https://www.nepremicnine.net/oglasi-prodaja/bled-hisa_7116493/
Samostojna;305.8;1973;;Bled;820.0;;https://www.nepremicnine.net/oglasi-prodaja/bled-hisa_7293529/
Samostojna;360.0;1936;;Bled;1179.0;;https://www.nepremicnine.net/oglasi-prodaja/bled-hisa_7073400/
Samostojna;406.0;1958;;Bled;560.0;;https://www.nepremicnine.net/oglasi-prodaja/bled-hisa_7185402/
Samostojna;815.0;1985;;Bled;11994.0;;https://www.nepremicnine.net/oglasi-prodaja/bled-hisa_6867041/
Samostojna;118.0;;;Bled;918.0;;https://www.nepremicnine.net/oglasi-prodaja/bled-center-hisa_7130493/
Samostojna;363.7;;;Bled;1627.0;;https://www.nepremicnine.net/oglasi-prodaja/bled-s-pogledom-na-blejski-grad-hisa_7032541/
Vrstna;153.0;2012;;Bled;;;https://www.nepremicnine.net/oglasi-prodaja/bled-v-blizini-blejskega-jezera-hisa_7049874/
Vrstna;153.0;2012;;Bled;;;https://www.nepremicnine.net/oglasi-prodaja/bled-v-blizini-blejskega-jezera-hisa_7059178/
Dvostanovanjska;164.2;2023;;Blejska Dobrava;;;https://www.nepremicnine.net/oglasi-prodaja/blejska-dobrava-hisa_6571747/
Samostojna;308.7;;;Bodešče;628.0;;https://www.nepremicnine.net/oglasi-prodaja/bodesce-hisa_7272221/
Dvojček;124.0;1972;;Bohinjska Bela;200.0;;https://www.nepremicnine.net/oglasi-prodaja/bohinjska-bela-hisa_7013196/
Samostojna;143.0;2024;;Bohinjska Bela;680.0;;https://www.nepremicnine.net/oglasi-prodaja/bohinjska-bela-hisa_7119297/
Samostojna;360.5;1970;;Bohinjska Bela;931.0;;https://www.nepremicnine.net/oglasi-prodaja/bohinjska-bela-hisa_7077998/
Dvojček;115.9;2024;;Bohinjska Bistrica;483.0;;https://www.nepremicnine.net/oglasi-prodaja/bohinjska-bistrica-hisa_7300947/
Dvojček;115.9;2024;;Bohinjska Bistrica;200.0;;https://www.nepremicnine.net/oglasi-prodaja/bohinjska-bistrica-hisa_7296522/
Dvostanovanjska;115.9;2024;;Bohinjska Bistrica;483.0;;https://www.nepremicnine.net/oglasi-prodaja/bohinjska-bistrica-hisa_7278771/
Samostojna;213.0;2005;;Bohinjska Bistrica;524.0;;https://www.nepremicnine.net/oglasi-prodaja/bohinjska-bistrica-hisa-kager-hisa_7259422/
Dvojček;323.0;1993;;Breg Ob Savi;200.0;;https://www.nepremicnine.net/oglasi-prodaja/breg-ob-savi-nova-drulovka-hisa_7244142/
